RecID,Brightness,Weight,Precip,LaneChanges,Speed,PulledOver
R3062162,6,10,1,2,58.3,y
R1017236,5,1,0,3,58.9,y
R4042991,2,3,5,2,58.7,y
R2034494,8,3,0,2,61.8,y
R4043431,9,10,4,2,60.0,y
R5032443,7,8,1,1,65.0,y
R3083958,4,8,4,0,58.2,n
R5034570,2,9,1,3,60.9,y
R5032675,2,6,1,1,61.8,y
R0051001,0,3,4,2,58.3,n
R5017424,7,10,3,1,58.9,y
R4027102,7,8,1,1,58.6,y
R3088155,3,10,4,2,63.1,n
R5013911,1,8,3,3,63.5,y
R4033620,9,8,0,2,62.8,y
R4012001,1,8,4,2,60.4,n
R1022752,3,5,3,0,62.9,y
R3040150,2,7,1,1,60.7,n
R6036165,5,6,2,2,62.1,y
R2039750,9,8,0,0,60.5,n
R6055369,0,9,3,2,57.7,y
R5043743,5,9,3,1,63.0,n
R4104562,2,8,4,3,58.6,n
R4062983,8,8,3,1,57.1,y
R4041158,9,3,4,2,59.5,y
R5075346,1,4,5,0,55.5,n
R1129230,10,6,4,3,62.2,n
R5030204,8,9,2,2,62.7,y
R4048628,8,5,4,0,58.2,n
R4125328,0,7,5,2,61.9,n
R2058863,9,8,4,1,58.9,n
R5025872,1,4,3,1,56.6,y
R3045565,0,5,3,2,57.8,n
